State,abbr,Population,MedianAge,HouseholdIncome,PerCapitaIncome,UnemploymentCount,PovertyCount,PovertyRate,UnemploymentRate,MedicalPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicalAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
Alabama,AL,4850771,40.44925373,40271.40299,22180.49254,2468.522388,12682.07463,20.34308007,0.037291347,0.401351351,0.134324324,0.280540541,0.183783784,74094.48919,24797.95946,51791.2973,33928.7973,119683.9459
Alaska,AK,738565,36.94482759,66425.44828,31670.55172,1018.896552,2530.344828,13.35217838,0.04779893,0.294,0.142,0.298,0.266,54276.1,26215,55014.56,49106.92,98649.6
Arizona,AZ,6809946,39.93333333,45816.66667,22712.2,15060.73333,75203.06667,19.45109117,0.038539906,0.389166667,0.125,0.301666667,0.184166667,71845.03333,23076.58333,55691.44167,33999.48333,131477.9167
Arkansas,AR,2977944,41.33066667,39025.08,21449.30667,1135.04,6989.48,19.66898966,0.03068889,0.4096,0.1508,0.3208,0.1188,75617.304,27839.576,59223.712,22845.80417,97777.08
California,CA,38982847,39.47413793,61046.75862,30416.48276,25709.41379,99541.51724,15.22605947,0.037276812,0.301333333,0.108,0.273777778,0.316888889,55629.90667,19938.16,50542.81111,58501.66222,143733.9111
Colorado,CO,5436519,42.2765625,54353.5625,29647.04688,2388.375,9564.734375,12.60602916,0.027960752,0.278846154,0.168846154,0.316153846,0.236153846,51478.50769,31171.12308,58365.95385,43596.96154,99990.15385
Connecticut,CT,3594478,41.575,74496,39419.125,17589,43847.875,8.8415338,0.036990898,0.25875,0.17375,0.32,0.2475,47768.5,32076.4375,59076.025,45691.6,102707.125
Delaware,DE,943732,41.13333333,61294.66667,31278.33333,10081.66667,37101.33333,11.97454824,0.031315781,0.356666667,0.143333333,0.336666667,0.163333333,65845.13333,26461.13333,62152.86667,30153.36667,128911.3333
District of Columbia,DC,672391,33.9,77649,50832,31279,111025,16.51196997,0.046519064,0.33,0.21,0.18,0.28,60922.1,38768.6,33230.3,51691.5,114910
Florida,FL,20278447,43.30298507,47144.32836,25265.97015,10434.58209,45835.40299,15.98733164,0.032132091,0.386938776,0.125102041,0.306326531,0.181632653,71433.74694,23095.4102,56551.72245,33531.66939,130521.4286
Georgia,GA,10201635,39.52389937,43268.78616,22305.30189,2343.27673,10559.93711,20.1598875,0.034355192,0.424459459,0.162972973,0.294324324,0.118243243,78360.53649,30086.85811,54335.96486,22128.22329,103991.3108
Hawaii,HI,1421658,44.06,68663,33930.6,6876,28629.6,11.28787597,0.020761236,0.245,0.1025,0.2425,0.41,45230.075,18922.775,44768.55,75691.15,180761.5
Idaho,ID,1657375,39.89318182,46171.93182,23335,962,5363.636364,15.18867793,0.025110748,0.253571429,0.172142857,0.331428571,0.242857143,46812.45714,31779.72857,61185.86429,44834.46429,88187.5
Illinois,IL,12854526,41.54901961,52930.38235,27255.21569,4816.764706,16653.06863,13.36618805,0.031625234,0.30509434,0.147358491,0.329622642,0.217924528,56324.24151,27204.23019,60852.47547,40231.60943,105002.1698
Indiana,IN,6614418,40.15869565,51877.40217,25817.6087,2197.815217,10147.17391,12.72997398,0.026561927,0.319253731,0.160895522,0.317164179,0.202686567,58938.24179,29703.33582,58552.48209,37418.48657,98812.55224
Iowa,IA,3118102,41.92626263,53436.08081,28497.66667,697.1515152,3649.929293,11.11712409,0.020111462,0.233421053,0.2,0.327368421,0.239210526,43092.46316,36922.51316,60436.31842,44161.26316,77003.63158
Kansas,KS,2903820,41.44285714,50022.57143,26215.5619,676.2761905,3440.809524,11.94752358,0.019788163,0.304642857,0.173214286,0.309642857,0.2125,56240.88214,31977.53214,57163.95357,39230.16786,88541.75
Kentucky,KY,4424376,40.71083333,41470.49167,22172.175,1172.641667,6529.883333,20.57461006,0.031674157,0.4036,0.1592,0.2806,0.1566,74509.618,29390.326,51802.28,28910.326,97285.08
Louisiana,LA,4663461,37.703125,42654.07813,22939.03125,2456.03125,13868.34375,20.62249072,0.033198387,0.468,0.1435,0.3085,0.08,86398.6575,26491.915,56952.965,15546.32368,97164.4
Maine,ME,1330158,45.90625,49680.8125,27791.3125,2299.375,10431.5,13.63063939,0.028694265,0.287333333,0.167333333,0.37,0.175333333,53045.34,30891.82667,68306.63333,32368.73333,99334.8
Maryland,MD,5996079,40.82916667,72541.16667,35127.79167,8265.625,23623.58333,10.3195748,0.031106426,0.310454545,0.147727273,0.348636364,0.193181818,57313.79545,27272.31364,64362.64091,35663.79091,124890.5909
Massachusetts,MA,6789319,41.55714286,71030.71429,38478.71429,16061.14286,51967.57143,10.76025722,0.031973352,0.2275,0.180833333,0.315,0.276666667,41999.35833,33384.1,58152.94167,51076.14167,97826.91667
Michigan,MI,9925568,44.33855422,47530.51807,25595.71084,4356.915663,18202.90361,15.12001636,0.033998787,0.307457627,0.168474576,0.309491525,0.214576271,56760.53898,31102.52034,57136.01017,39613.46949,97149.47458
Minnesota,MN,5490726,41.82528736,57530,29711.57471,1500.114943,6448.218391,10.7472466,0.02051592,0.166122449,0.189183673,0.317142857,0.32755102,30668.3,34925.67959,58548.54082,60470.02245,82742.93878
Mississippi,MS,2986220,38.15365854,37018.71951,20127.7439,1436.414634,7561.060976,23.86724615,0.040881693,0.417692308,0.182820513,0.288461538,0.111025641,77111.23846,33750.9641,53253.61795,20496.73333,87274.51282
Missouri,MO,6075300,41.28608696,44435.30435,23019.48696,1529.730435,7492.86087,16.63325038,0.027039412,0.350816327,0.162040816,0.318979592,0.168163265,64765.08571,29914.77143,58887.62449,31045.04898,96699.06122
Montana,MT,1029862,44.29821429,47746.75,27103.19643,447.7857143,2574.964286,14.21729028,0.02106699,0.248888889,0.162222222,0.286666667,0.302222222,45948.01111,29948.24444,52922.26667,55794.01111,100184.1111
Nebraska,NE,1893921,43.53548387,51928.35484,27940.7957,418.0752688,2369.139785,10.8809283,0.014864278,0.198823529,0.168823529,0.327647059,0.304705882,36705.31765,31166.94706,60487.75882,56252.52353,87187.29412
Nevada,NV,2887725,43.01764706,56859,28215.35294,6840.294118,23839,12.13513093,0.033546096,0.368571429,0.102857143,0.307142857,0.221428571,68042.91429,18988.71429,56702.42857,40878.51429,131344.5714
New Hampshire,NH,1331848,44.2,64901.9,34212.9,3356.6,10447,8.861583588,0.024592663,0.226,0.185,0.39,0.199,41722.45,34153.31,71998.88,36737.89,97265.1
New Jersey,NJ,8960161,40.79047619,77047.7619,38538.61905,15627,44678.66667,10.23953764,0.037146257,0.2795,0.1615,0.29,0.269,51599.21,29814.935,53537.64,49660.78,116320
New Mexico,NM,2084828,41.60909091,41197.21212,22967,2233.636364,12736.15152,21.10795663,0.031085864,0.429333333,0.127333333,0.320666667,0.122666667,79260.30667,23507.34,59199.08667,22645.81333,115173.8
New York,NY,19798228,41.26612903,58309.25806,30045.35484,11054.32258,46910.82258,13.37475109,0.032312767,0.274590164,0.183442623,0.359836066,0.182131148,50692.78689,33865.81639,66430.25082,33623.69836,93043.59016
North Carolina,NC,10052564,42.189,44551.67,24339.2,3522.87,15798.71,17.70287036,0.036059338,0.414492754,0.134927536,0.277246377,0.173333333,76520.55797,24909.32609,51183.16087,32470.09412,121148.4928
North Dakota,ND,745475,43.1509434,59795.96226,34084.22642,209.1509434,1497.622642,10.33445014,0.013344738,0.20625,0.2075,0.355,0.23125,38076.3375,38307.1125,65537.45,42691.675,81924.75
Ohio,OH,11609756,40.77727273,51742.20455,26332.69318,4303.806818,19135.11364,14.02944713,0.029085032,0.329382716,0.172592593,0.317530864,0.180493827,60808.17901,31862.7679,58620.17778,33321.43086,100188.7654
Oklahoma,OK,3896251,39.30779221,46219.85714,23887.61039,1368.506494,7957.324675,16.43909039,0.025457833,0.4021875,0.1421875,0.3140625,0.1415625,74248.85,26249.60313,57979.86563,26134.22188,100228.4375
Oregon,OR,4025127,43.76666667,48502.5,26512.25,3837.194444,16312.44444,15.4836461,0.033705563,0.274166667,0.150416667,0.286666667,0.28875,50614.60833,27768.80417,52922.25417,53306.875,111620.6667
