Name,County,geoid,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty_Rate,State,abbr,Unemployment Rate,Unemployment_Rate
"Corozal Municipio, Puerto Rico",Corozal Municipio,72047,34933,38.1,14752,7887,3296,19146,54.80777488,Puerto Rico,PR,0.094352045,9.435204534
"Maunabo Municipio, Puerto Rico",Maunabo Municipio,72095,11297,43.5,17636,8830,735,5945,52.6245906,Puerto Rico,PR,0.065061521,6.506152076
"Peñuelas Municipio, Puerto Rico",Peñuelas Municipio,72111,21661,36.4,16868,7983,1601,12379,57.14879276,Puerto Rico,PR,0.073911638,7.391163843
"Ponce Municipio, Puerto Rico",Ponce Municipio,72113,148863,39.5,16561,10775,7013,75187,50.50751362,Puerto Rico,PR,0.04711043,4.71104304
"San Sebastián Municipio, Puerto Rico",San Sebastián Municipio,72131,38970,42,14275,8072,3307,21472,55.09879394,Puerto Rico,PR,0.084860149,8.486014883
"Toa Alta Municipio, Puerto Rico",Toa Alta Municipio,72135,74169,37.1,29672,14162,4266,22070,29.75636722,Puerto Rico,PR,0.057517292,5.751729159
"Toa Baja Municipio, Puerto Rico",Toa Baja Municipio,72137,81905,38.9,24583,12240,6565,29279,35.74751236,Puerto Rico,PR,0.080153837,8.015383676
"Vieques Municipio, Puerto Rico",Vieques Municipio,72147,8931,41.4,16261,11136,428,3260,36.50207144,Puerto Rico,PR,0.047922965,4.792296495
"Yabucoa Municipio, Puerto Rico",Yabucoa Municipio,72151,35025,41.6,15586,8672,2685,18297,52.23982869,Puerto Rico,PR,0.076659529,7.665952891
"Aguada Municipio, Puerto Rico",Aguada Municipio,72003,39470,41,16199,9001,2538,20558,52.08512795,Puerto Rico,PR,0.064302002,6.430200152
"Caguas Municipio, Puerto Rico",Caguas Municipio,72025,134269,39.7,24229,13904,8503,50442,37.56786749,Puerto Rico,PR,0.063328095,6.332809509
"Canóvanas Municipio, Puerto Rico",Canóvanas Municipio,72029,46779,39,19986,11094,4353,19930,42.60458753,Puerto Rico,PR,0.093054576,9.305457577
