Name,County,Population,MedianAge,Household Income,PerCapitaIncome,UnemploymentCount,PovertyCount,PovertyRate,State,abbr,UnemployementRate,MedicialPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicialAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
"Corozal Municipio, Puerto Rico",Corozal Municipio,34933,38.1,14752,7887,3296,19146,54.80777488,Puerto Rico,PR,0.094352045,,,,,,,,,
"Maunabo Municipio, Puerto Rico",Maunabo Municipio,11297,43.5,17636,8830,735,5945,52.6245906,Puerto Rico,PR,0.065061521,,,,,,,,,
"Peñuelas Municipio, Puerto Rico",Peñuelas Municipio,21661,36.4,16868,7983,1601,12379,57.14879276,Puerto Rico,PR,0.073911638,,,,,,,,,
"Ponce Municipio, Puerto Rico",Ponce Municipio,148863,39.5,16561,10775,7013,75187,50.50751362,Puerto Rico,PR,0.04711043,,,,,,,,,
"San Sebastián Municipio, Puerto Rico",San Sebastián Municipio,38970,42.0,14275,8072,3307,21472,55.09879394,Puerto Rico,PR,0.08486014900000001,,,,,,,,,
"Toa Alta Municipio, Puerto Rico",Toa Alta Municipio,74169,37.1,29672,14162,4266,22070,29.75636722,Puerto Rico,PR,0.057517292000000005,,,,,,,,,
"Toa Baja Municipio, Puerto Rico",Toa Baja Municipio,81905,38.9,24583,12240,6565,29279,35.74751236,Puerto Rico,PR,0.080153837,,,,,,,,,
"Vieques Municipio, Puerto Rico",Vieques Municipio,8931,41.4,16261,11136,428,3260,36.50207144,Puerto Rico,PR,0.047922965,,,,,,,,,
"Yabucoa Municipio, Puerto Rico",Yabucoa Municipio,35025,41.6,15586,8672,2685,18297,52.23982869,Puerto Rico,PR,0.076659529,,,,,,,,,
"Aguada Municipio, Puerto Rico",Aguada Municipio,39470,41.0,16199,9001,2538,20558,52.08512795,Puerto Rico,PR,0.064302002,,,,,,,,,
"Caguas Municipio, Puerto Rico",Caguas Municipio,134269,39.7,24229,13904,8503,50442,37.56786749,Puerto Rico,PR,0.063328095,,,,,,,,,
"Canóvanas Municipio, Puerto Rico",Canóvanas Municipio,46779,39.0,19986,11094,4353,19930,42.60458753,Puerto Rico,PR,0.093054576,,,,,,,,,
"Cidra Municipio, Puerto Rico",Cidra Municipio,41181,38.7,20389,10965,2653,17723,43.03683738,Puerto Rico,PR,0.064422913,,,,,,,,,
"Coamo Municipio, Puerto Rico",Coamo Municipio,39796,39.4,19110,10307,1038,19197,48.23851643,Puerto Rico,PR,0.026083022999999997,,,,,,,,,
"Dorado Municipio, Puerto Rico",Dorado Municipio,37722,39.5,29354,15495,3104,12475,33.07088702,Puerto Rico,PR,0.082286199,,,,,,,,,
"Luquillo Municipio, Puerto Rico",Luquillo Municipio,18952,39.8,19377,10434,2121,8649,45.63634445,Puerto Rico,PR,0.11191431,,,,,,,,,
"Barranquitas Municipio, Puerto Rico",Barranquitas Municipio,29237,35.5,15694,7716,797,17530,59.95827205,Puerto Rico,PR,0.027259979,,,,,,,,,
"Orocovis Municipio, Puerto Rico",Orocovis Municipio,21906,37.9,14296,7326,2131,12276,56.03944125,Puerto Rico,PR,0.09727928400000001,,,,,,,,,
"San Lorenzo Municipio, Puerto Rico",San Lorenzo Municipio,38689,40.2,18589,10497,1493,17626,45.55816899,Puerto Rico,PR,0.03858978,,,,,,,,,
"Añasco Municipio, Puerto Rico",Añasco Municipio,27892,41.3,18765,9344,1474,12618,45.23877814,Puerto Rico,PR,0.05284669400000001,,,,,,,,,
"Ceiba Municipio, Puerto Rico",Ceiba Municipio,12238,40.9,18998,11840,472,5285,43.18516097,Puerto Rico,PR,0.038568394,,,,,,,,,
"Ciales Municipio, Puerto Rico",Ciales Municipio,17325,40.5,14432,8049,844,9970,57.54689755,Puerto Rico,PR,0.048715729000000006,,,,,,,,,
"Comerío Municipio, Puerto Rico",Comerío Municipio,19914,38.1,13523,7047,1665,11657,58.53670784,Puerto Rico,PR,0.08360952099999999,,,,,,,,,
"Isabela Municipio, Puerto Rico",Isabela Municipio,43314,40.8,16333,8798,2606,23262,53.70549938,Puerto Rico,PR,0.060165305,,,,,,,,,
"Jayuya Municipio, Puerto Rico",Jayuya Municipio,15297,36.3,15615,7179,1203,9065,59.25998562,Puerto Rico,PR,0.078642871,,,,,,,,,
"Lares Municipio, Puerto Rico",Lares Municipio,27321,41.1,12820,8212,3456,15252,55.82518941,Puerto Rico,PR,0.126496102,,,,,,,,,
"Las Piedras Municipio, Puerto Rico",Las Piedras Municipio,38253,38.1,20587,10342,2697,17358,45.37683319,Puerto Rico,PR,0.070504274,,,,,,,,,
"Río Grande Municipio, Puerto Rico",Río Grande Municipio,51768,40.2,22584,10804,5099,19441,37.55408747,Puerto Rico,PR,0.098497141,,,,,,,,,
"San Juan Municipio, Puerto Rico",San Juan Municipio,355181,41.8,21677,18160,22671,147147,41.42873633,Puerto Rico,PR,0.063829428,,,,,,,,,
"Vega Alta Municipio, Puerto Rico",Vega Alta Municipio,38589,37.8,18053,10492,2630,19087,49.462282,Puerto Rico,PR,0.068154137,,,,,,,,,
"Vega Baja Municipio, Puerto Rico",Vega Baja Municipio,54754,40.1,18900,10197,2864,23835,43.53106622,Puerto Rico,PR,0.052306680999999994,,,,,,,,,
"Maricao Municipio, Puerto Rico",Maricao Municipio,6180,42.7,13462,5943,204,4020,65.04854369,Puerto Rico,PR,0.033009709,,,,,,,,,
"Aibonito Municipio, Puerto Rico",Aibonito Municipio,24008,40.7,18387,10224,416,11806,49.17527491,Puerto Rico,PR,0.017327557,,,,,,,,,
"Guayanilla Municipio, Puerto Rico",Guayanilla Municipio,19578,40.3,14988,8347,1421,10869,55.51639595,Puerto Rico,PR,0.07258146900000001,,,,,,,,,
"Juncos Municipio, Puerto Rico",Juncos Municipio,39704,37.6,18533,9017,4169,20219,50.92434012,Puerto Rico,PR,0.105002015,,,,,,,,,
"Lajas Municipio, Puerto Rico",Lajas Municipio,23893,43.4,13896,7229,1073,14454,60.49470556,Puerto Rico,PR,0.044908551,,,,,,,,,
"Sabana Grande Municipio, Puerto Rico",Sabana Grande Municipio,23610,40.9,15736,9158,1481,11506,48.73358746,Puerto Rico,PR,0.06272765799999999,,,,,,,,,
"Adjuntas Municipio, Puerto Rico",Adjuntas Municipio,18525,39.5,11680,7117,2573,11849,63.96221323,Puerto Rico,PR,0.13889338699999998,,,,,,,,,
"Camuy Municipio, Puerto Rico",Camuy Municipio,32936,40.1,17579,9738,2113,15927,48.35742045,Puerto Rico,PR,0.06415472400000001,,,,,,,,,
"Guánica Municipio, Puerto Rico",Guánica Municipio,17327,41.4,12653,7207,1509,11288,65.14688059,Puerto Rico,PR,0.08708951300000001,,,,,,,,,
"Hormigueros Municipio, Puerto Rico",Hormigueros Municipio,16474,45.1,19674,11588,1445,6476,39.31042855,Puerto Rico,PR,0.087713974,,,,,,,,,
"Manatí Municipio, Puerto Rico",Manatí Municipio,40705,40.9,18191,10559,2385,18707,45.95749908,Puerto Rico,PR,0.058592310999999994,,,,,,,,,
"Naguabo Municipio, Puerto Rico",Naguabo Municipio,26584,37.0,18976,10016,893,13071,49.16867289,Puerto Rico,PR,0.033591634,,,,,,,,,
"Naranjito Municipio, Puerto Rico",Naranjito Municipio,29112,38.7,18069,8996,2373,13748,47.22451223,Puerto Rico,PR,0.081512778,,,,,,,,,
"San Germán Municipio, Puerto Rico",San Germán Municipio,32937,42.7,15036,9563,765,16701,50.70589307,Puerto Rico,PR,0.023226159,,,,,,,,,
"Utuado Municipio, Puerto Rico",Utuado Municipio,30209,41.7,15931,8140,2816,16000,52.96434837,Puerto Rico,PR,0.09321725300000001,,,,,,,,,
"Arecibo Municipio, Puerto Rico",Arecibo Municipio,89550,41.4,17289,9954,4849,43039,48.061418200000006,Puerto Rico,PR,0.05414852,,,,,,,,,
"Arroyo Municipio, Puerto Rico",Arroyo Municipio,18504,38.7,15689,7639,699,10487,56.6742326,Puerto Rico,PR,0.037775616,,,,,,,,,
"Cataño Municipio, Puerto Rico",Cataño Municipio,25595,39.1,18663,11627,2988,12639,49.38073843,Puerto Rico,PR,0.116741551,,,,,,,,,
"Florida Municipio, Puerto Rico",Florida Municipio,12140,38.2,16919,7837,649,6839,56.33443163,Puerto Rico,PR,0.053459638,,,,,,,,,
"Hatillo Municipio, Puerto Rico",Hatillo Municipio,40978,40.7,17770,10360,1250,18522,45.19986334,Puerto Rico,PR,0.030504173,,,,,,,,,
"Humacao Municipio, Puerto Rico",Humacao Municipio,54736,41.3,18735,11682,2286,24820,45.34492838,Puerto Rico,PR,0.041764103999999996,,,,,,,,,
"Juana Díaz Municipio, Puerto Rico",Juana Díaz Municipio,47952,37.5,20228,10244,4240,22662,47.25975976,Puerto Rico,PR,0.088421755,,,,,,,,,
"Morovis Municipio, Puerto Rico",Morovis Municipio,31785,37.0,18739,8816,2204,15639,49.20245399,Puerto Rico,PR,0.069340884,,,,,,,,,
"Mayagüez Municipio, Puerto Rico",Mayagüez Municipio,79615,39.9,14642,10656,6999,40790,51.23406393,Puerto Rico,PR,0.08791057,,,,,,,,,
"Santa Isabel Municipio, Puerto Rico",Santa Isabel Municipio,22475,37.2,16816,10478,788,11045,49.14349277,Puerto Rico,PR,0.035061179,,,,,,,,,
"Trujillo Alto Municipio, Puerto Rico",Trujillo Alto Municipio,69478,39.3,31202,15703,2199,21009,30.23834883,Puerto Rico,PR,0.031650307,,,,,,,,,
"Quebradillas Municipio, Puerto Rico",Quebradillas Municipio,24548,39.3,16082,9287,982,12679,51.64982891,Puerto Rico,PR,0.040003259,,,,,,,,,
"Guayama Municipio, Puerto Rico",Guayama Municipio,42623,37.5,15296,9183,813,22269,52.24643972,Puerto Rico,PR,0.019074208999999998,,,,,,,,,
"Moca Municipio, Puerto Rico",Moca Municipio,37676,38.6,13413,7881,3076,21615,57.37073999,Puerto Rico,PR,0.081643487,,,,,,,,,
"Culebra Municipio, Puerto Rico",Culebra Municipio,1494,39.3,23355,11450,11,615,41.16465863,Puerto Rico,PR,0.007362784,,,,,,,,,
"Gurabo Municipio, Puerto Rico",Gurabo Municipio,47074,38.3,32625,16559,3099,14583,30.97888431,Puerto Rico,PR,0.065832519,,,,,,,,,
"Salinas Municipio, Puerto Rico",Salinas Municipio,29239,38.4,16246,8738,833,15586,53.3055166,Puerto Rico,PR,0.028489346000000002,,,,,,,,,
