State,abbr,Population,MedianAge,HouseholdIncome,PerCapitaIncome,UnemploymentCount,PovertyCount,PovertyRate,UnemploymentRate,MedicalPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicalAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
Alabama,AL,4850771,40.44925373134329,40271.40298507463,22180.492537313432,2468.5223880597014,12682.074626865671,20.343080069552236,0.03729134717910448,0.40135135135135136,0.13432432432432434,0.2805405405405405,0.1837837837837838,74094.48918918919,24797.959459459464,51791.2972972973,33928.7972972973,119683.94594594595
Alaska,AK,738565,36.9448275862069,66425.44827586207,31670.55172413793,1018.8965517241379,2530.344827586207,13.352178382586205,0.04779893037931035,0.29400000000000004,0.14200000000000002,0.298,0.266,54276.1,26215.0,55014.56,49106.92,98649.6
Arizona,AZ,6809946,39.93333333333333,45816.666666666664,22712.2,15060.733333333334,75203.06666666667,19.451091168666665,0.03853990626666667,0.3891666666666667,0.12500000000000003,0.3016666666666667,0.1841666666666667,71845.03333333333,23076.58333333333,55691.44166666666,33999.48333333333,131477.91666666666
Arkansas,AR,2977944,41.330666666666666,39025.08,21449.306666666667,1135.04,6989.48,19.668989661533328,0.03068888976,0.4096000000000001,0.1508,0.3207999999999999,0.11879999999999998,75617.30400000002,27839.576,59223.712000000014,22845.804166666665,97777.08
California,CA,38982847,39.47413793103448,61046.75862068965,30416.48275862069,25709.41379310345,99541.5172413793,15.226059465637924,0.037276811568965514,0.3013333333333333,0.10800000000000003,0.27377777777777784,0.31688888888888883,55629.90666666667,19938.16,50542.8111111111,58501.66222222222,143733.9111111111
Colorado,CO,5436519,42.2765625,54353.5625,29647.046875,2388.375,9564.734375,12.606029155234376,0.027960752171874995,0.2788461538461538,0.1688461538461539,0.3161538461538462,0.2361538461538462,51478.5076923077,31171.12307692308,58365.95384615385,43596.961538461546,99990.15384615384
Connecticut,CT,3594478,41.574999999999996,74496.0,39419.125,17589.0,43847.875,8.8415338,0.03699089775,0.25875000000000004,0.17375,0.32000000000000006,0.24750000000000003,47768.5,32076.437499999996,59076.025,45691.600000000006,102707.125
Delaware,DE,943732,41.13333333333333,61294.666666666664,31278.333333333332,10081.666666666666,37101.333333333336,11.974548243333333,0.031315781,0.35666666666666663,0.14333333333333334,0.33666666666666667,0.16333333333333333,65845.13333333335,26461.13333333333,62152.86666666667,30153.36666666667,128911.33333333333
District of Columbia,DC,672391,33.9,77649.0,50832.0,31279.0,111025.0,16.51196997,0.046519064000000006,0.33,0.21,0.18,0.28,60922.1,38768.6,33230.3,51691.5,114910.0
Florida,FL,20278447,43.302985074626854,47144.32835820896,25265.97014925373,10434.58208955224,45835.40298507463,15.987331641089552,0.03213209073134327,0.38693877551020417,0.12510204081632653,0.3063265306122448,0.1816326530612245,71433.7469387755,23095.41020408164,56551.72244897958,33531.6693877551,130521.42857142857
Georgia,GA,10201635,39.52389937106919,43268.78616352201,22305.30188679245,2343.276729559748,10559.93710691824,20.159887502817607,0.034355191584905666,0.4244594594594596,0.16297297297297295,0.2943243243243243,0.11824324324324324,78360.53648648645,30086.858108108107,54335.964864864836,22128.223287671248,103991.31081081081
Hawaii,HI,1421658,44.059999999999995,68663.0,33930.6,6876.0,28629.6,11.287875967400002,0.020761236,0.245,0.10250000000000001,0.2425,0.41000000000000003,45230.075,18922.775,44768.549999999996,75691.15000000001,180761.5
Idaho,ID,1657375,39.89318181818182,46171.931818181816,23335.0,962.0,5363.636363636364,15.188677932818182,0.025110747613636363,0.2535714285714286,0.17214285714285715,0.33142857142857146,0.24285714285714288,46812.457142857136,31779.728571428568,61185.864285714284,44834.46428571428,88187.5
Illinois,IL,12854526,41.549019607843135,52930.382352941175,27255.21568627451,4816.764705882353,16653.06862745098,13.366188054803919,0.03162523409803921,0.30509433962264143,0.14735849056603775,0.3296226415094339,0.21792452830188677,56324.24150943395,27204.230188679252,60852.4754716981,40231.60943396226,105002.16981132075
Indiana,IN,6614418,40.15869565217392,51877.40217391304,25817.608695652172,2197.8152173913045,10147.173913043478,12.729973978467388,0.026561927195652178,0.31925373134328366,0.16089552238805968,0.3171641791044776,0.2026865671641792,58938.241791044755,29703.33582089552,58552.48208955222,37418.48656716418,98812.55223880598
Iowa,IA,3118102,41.92626262626263,53436.080808080806,28497.666666666668,697.1515151515151,3649.929292929293,11.117124088242424,0.020111462070707076,0.23342105263157903,0.20000000000000004,0.3273684210526316,0.2392105263157895,43092.46315789475,36922.51315789474,60436.31842105263,44161.26315789474,77003.63157894737
Kansas,KS,2903820,41.442857142857136,50022.57142857143,26215.561904761904,676.2761904761904,3440.809523809524,11.947523584285712,0.019788163219047618,0.3046428571428571,0.1732142857142857,0.30964285714285716,0.21250000000000005,56240.88214285715,31977.532142857144,57163.95357142859,39230.16785714286,88541.75
Kentucky,KY,4424376,40.71083333333333,41470.49166666667,22172.175,1172.6416666666667,6529.883333333333,20.574610055058322,0.031674156783333345,0.4036,0.15920000000000006,0.28059999999999996,0.15660000000000004,74509.61799999999,29390.326000000005,51802.27999999999,28910.32599999999,97285.08
Louisiana,LA,4663461,37.70312499999998,42654.078125,22939.03125,2456.03125,13868.34375,20.62249071757812,0.033198386562500015,0.46799999999999986,0.14350000000000002,0.30850000000000005,0.07999999999999999,86398.6575,26491.915000000008,56952.965000000004,15546.323684210525,97164.4
Maine,ME,1330158,45.90625000000001,49680.8125,27791.3125,2299.375,10431.5,13.6306393913125,0.028694264562499995,0.2873333333333334,0.1673333333333333,0.36999999999999994,0.1753333333333333,53045.34000000001,30891.826666666668,68306.63333333333,32368.73333333333,99334.8
Maryland,MD,5996079,40.82916666666666,72541.16666666667,35127.791666666664,8265.625,23623.583333333332,10.31957480025,0.031106425916666663,0.3104545454545455,0.1477272727272727,0.34863636363636363,0.19318181818181818,57313.79545454546,27272.313636363644,64362.640909090915,35663.79090909091,124890.59090909091
Massachusetts,MA,6789319,41.55714285714286,71030.71428571429,38478.71428571428,16061.142857142857,51967.57142857143,10.760257219357142,0.031973351857142854,0.22750000000000006,0.18083333333333332,0.315,0.2766666666666666,41999.35833333333,33384.1,58152.94166666666,51076.14166666667,97826.91666666667
Michigan,MI,9925568,44.338554216867465,47530.51807228916,25595.710843373494,4356.915662650603,18202.90361445783,15.120016357939752,0.033998786566265066,0.30745762711864416,0.16847457627118642,0.30949152542372865,0.21457627118644063,56760.53898305082,31102.520338983068,57136.010169491536,39613.46949152542,97149.47457627118
Minnesota,MN,5490726,41.82528735632182,57530.0,29711.57471264368,1500.1149425287356,6448.218390804598,10.747246596206896,0.020515920183908045,0.16612244897959189,0.1891836734693879,0.3171428571428571,0.3275510204081632,30668.300000000014,34925.67959183674,58548.54081632654,60470.02244897959,82742.9387755102
