County,State,MedicalPercent,StudentDebtPercent,AutoDebtPercent,OtherPercent,MedicalAmount,StudentDebtAmount,AutoDebtAmount,OtherAmount,TotalDebt
Walker County,Alabama,0.44,0.08,0.26,0.22,81229.5,14769,47999.3,40614.8,184613
Jackson County,Alabama,0.36,0.08,0.25,0.31,66460.5,14769,46153.1,57229.9,152888
Etowah County,Alabama,0.4,0.1,0.27,0.23,73845,18461.3,49845.4,42460.9,149380
St. Clair County,Alabama,0.36,0.13,0.31,0.2,66460.5,23999.6,57229.9,36922.5,147531
Tuscaloosa County,Alabama,0.44,0.14,0.28,0.14,81229.5,25845.8,51691.5,25845.8,146907
Calhoun County,Alabama,0.43,0.12,0.28,0.17,79383.4,22153.5,51691.5,31384.1,143442
Covington County,Alabama,0.43,0.1,0.25,0.22,79383.4,18461.3,46153.1,40614.8,140630
Lee County,Alabama,0.35,0.17,0.29,0.19,64614.4,31384.1,53537.6,35076.4,136953
DeKalb County,Alabama,0.38,0.08,0.25,0.29,70152.8,14769,46153.1,53537.6,136088
Tallapoosa County,Alabama,0.41,0.11,0.24,0.24,75691.1,20307.4,44307,44307,135045
Houston County,Alabama,0.35,0.13,0.29,0.23,64614.4,23999.6,53537.6,42460.9,133408
Talladega County,Alabama,0.54,0.1,0.27,0.09,99690.8,18461.3,49845.4,16615.1,130360
Escambia County,Alabama,0.47,0.1,0.28,0.15,86767.9,18461.3,51691.5,27691.9,129930
Chambers County,Alabama,0.46,0.12,0.24,0.18,84921.8,22153.5,44307,33230.3,129458
Coffee County,Alabama,0.3,0.13,0.31,0.26,55383.8,23999.6,57229.9,47999.3,126800
Autauga County,Alabama,0.34,0.16,0.27,0.23,62768.3,29538,49845.4,42460.9,121506
Madison County,Alabama,0.34,0.17,0.3,0.19,62768.3,31384.1,55383.8,35076.4,117088
Colbert County,Alabama,0.37,0.12,0.29,0.22,68306.6,22153.5,53537.6,40614.8,117033
Chilton County,Alabama,0.46,0.1,0.31,0.13,84921.8,18461.3,57229.9,23999.6,116110
Jefferson County,Alabama,0.45,0.17,0.26,0.12,83075.6,31384.1,47999.3,22153.5,115941
Dallas County,Alabama,0.57,0.14,0.23,0.06,105229.1,25845.8,42460.9,11076.8,115107
Cullman County,Alabama,0.37,0.11,0.3,0.22,68306.6,20307.4,55383.8,40614.8,113591
Shelby County,Alabama,0.29,0.17,0.33,0.21,53537.6,31384.1,60922.1,38768.6,112024
Blount County,Alabama,0.36,0.1,0.28,0.26,66460.5,18461.3,51691.5,47999.3,111280
Marshall County,Alabama,0.36,0.09,0.26,0.29,66460.5,16615.1,47999.3,53537.6,110956
Montgomery County,Alabama,0.45,0.21,0.24,0.1,83075.6,38768.6,44307,18461.3,107357
Macon County,Alabama,0.55,0.22,0.25,-0.02,101536.9,40614.8,46153.1,-3692.3,105436
Dale County,Alabama,0.35,0.13,0.35,0.17,64614.4,23999.6,64614.4,31384.1,102477
Lauderdale County,Alabama,0.34,0.14,0.27,0.25,62768.3,25845.8,49845.4,46153.1,100764
Baldwin County,Alabama,0.28,0.14,0.33,0.25,51691.5,25845.8,60922.1,46153.1,99743
Pike County,Alabama,0.41,0.17,0.28,0.14,75691.1,31384.1,51691.5,25845.8,99653
Elmore County,Alabama,0.31,0.15,0.31,0.23,57229.9,27691.9,57229.9,42460.9,98167
Russell County,Alabama,0.51,0.17,0.28,0.04,94152.4,31384.1,51691.5,7384.5,95871
Morgan County,Alabama,0.4,0.12,0.29,0.19,73845,22153.5,53537.6,35076.4,94217
Limestone County,Alabama,0.35,0.15,0.32,0.18,64614.4,27691.9,59076,33230.3,91200
Mobile County,Alabama,0.42,0.18,0.27,0.13,77537.3,33230.3,49845.4,23999.6,85017
Marengo County,Alabama,0.45,0.17,0.29,0.09,83075.6,31384.1,53537.6,16615.1,74335
Fairbanks North Star Borough,Alaska,0.3,0.14,0.35,0.21,55383.8,25845.8,64614.4,38768.6,114643
Kenai Peninsula Borough,Alaska,0.28,0.13,0.22,0.37,51691.5,23999.6,40614.8,68306.6,112323
Anchorage Municipality,Alaska,0.34,0.15,0.3,0.21,62768.3,27691.9,55383.8,38768.6,96753
Matanuska-Susitna Borough,Alaska,0.29,0.15,0.36,0.2,53537.6,27691.9,66460.5,36922.5,87300
Juneau City and Borough,Alaska,0.26,0.14,0.26,0.34,47999.3,25845.8,47999.3,62768.3,82229
Gila County,Arizona,0.38,0.07,0.24,0.31,70152.8,12922.9,44307,57229.9,291357
Yavapai County,Arizona,0.29,0.1,0.26,0.35,53537.6,18461.3,47999.3,64614.4,161650
Navajo County,Arizona,0.51,0.11,0.33,0.05,94152.4,20307.4,60922.1,9230.6,148818
Mohave County,Arizona,0.37,0.1,0.29,0.24,68306.6,18461.3,53537.6,44307,135000
Yuma County,Arizona,0.37,0.1,0.31,0.22,68306.6,18461.3,57229.9,40614.8,132050
Cochise County,Arizona,0.33,0.11,0.28,0.28,60922.1,20307.4,51691.5,51691.5,124245
Coconino County,Arizona,0.37,0.18,0.31,0.14,68306.6,33230.3,57229.9,25845.8,113356
Pinal County,Arizona,0.4,0.15,0.35,0.1,73845,27691.9,64614.4,18461.3,107320
Santa Cruz County,Arizona,0.35,0.09,0.27,0.29,64614.4,16615.1,49845.4,53537.6,103189
Maricopa County,Arizona,0.36,0.17,0.32,0.15,66460.5,31384.1,59076,27691.9,96818
Pima County,Arizona,0.34,0.16,0.29,0.21,62768.3,29538,53537.6,38768.6,93338
Apache County,Arizona,0.6,0.16,0.37,-0.13,110767.5,29538,68306.6,-23999.6,70594
Baxter County,Arkansas,0.3,0.1,0.26,0.34,55383.8,18461.3,47999.3,62768.3,133550
Garland County,Arkansas,0.39,0.13,0.25,0.23,71998.9,23999.6,46153.1,42460.9,124569
Clark County,Arkansas,0.37,0.17,0.31,0.15,68306.6,31384.1,57229.9,27691.9,114612
Washington County,Arkansas,0.34,0.16,0.34,0.16,62768.3,29538,62768.3,29538,112894
Mississippi County,Arkansas,0.5,0.11,0.29,0.1,92306.3,20307.4,53537.6,18461.3,111355
Benton County,Arkansas,0.28,0.14,0.37,0.21,51691.5,25845.8,68306.6,38768.6,107536
Boone County,Arkansas,0.37,0.12,0.3,0.21,68306.6,22153.5,55383.8,38768.6,103808
Independence County,Arkansas,0.42,0.13,0.38,0.07,77537.3,23999.6,70152.8,12922.9,102292
Ashley County,Arkansas,0.46,0.15,0.32,0.07,84921.8,27691.9,59076,12922.9,100880
Union County,Arkansas,0.45,0.13,0.31,0.11,83075.6,23999.6,57229.9,20307.4,99454
Pope County,Arkansas,0.4,0.16,0.31,0.13,73845,29538,57229.9,23999.6,99250
Lonoke County,Arkansas,0.34,0.16,0.41,0.09,62768.3,29538,75691.1,16615.1,98719
Sebastian County,Arkansas,0.4,0.13,0.3,0.17,73845,23999.6,55383.8,31384.1,97169
Miller County,Arkansas,0.54,0.1,0.32,0.04,99690.8,18461.3,59076,7384.5,94540
Crawford County,Arkansas,0.42,0.11,0.35,0.12,77537.3,20307.4,64614.4,22153.5,94491
Columbia County,Arkansas,0.51,0.16,0.26,0.07,94152.4,29538,47999.3,12922.9,94106
Crittenden County,Arkansas,0.57,0.15,0.26,0.02,105229.1,27691.9,47999.3,3692.3,93907
Greene County,Arkansas,0.42,0.16,0.29,0.13,77537.3,29538,53537.6,23999.6,92706
Craighead County,Arkansas,0.42,0.19,0.34,0.05,77537.3,35076.4,62768.3,9230.6,89474
White County,Arkansas,0.38,0.15,0.32,0.15,70152.8,27691.9,59076,27691.9,88947
Pulaski County,Arkansas,0.4,0.22,0.3,0.08,73845,40614.8,55383.8,14769,88536
Saline County,Arkansas,0.31,0.18,0.39,0.12,57229.9,33230.3,71998.9,22153.5,82572
Drew County,Arkansas,0.42,0.17,0.34,0.07,77537.3,31384.1,62768.3,12922.9,81247
Faulkner County,Arkansas,0.33,0.21,0.38,0.08,60922.1,38768.6,70152.8,14769,69557
Jefferson County,Arkansas,0.5,0.18,0.32,0,92306.3,33230.3,59076,,68256
